IXI_ID,AGE
425,19.98
64,20.07
278,20.21
230,21.15
38,21.38
201,22.41
153,22.43
43,22.65
426,23.11
112,23.7
65,23.72
116,23.85
253,24
275,24.18
34,24.34
67,24.69
176,24.85
111,25.19
178,25.41
315,25.45
87,25.66
69,26.27
93,26.88
150,27.01
128,27.33
238,27.73
140,27.84
57,28.16
567,28.56
522,28.93
609,29
372,29.26
58,29.28
596,29.66
25,29.78
184,30.12
179,30.14
27,30.42
291,30.69
83,30.89
561,31.58
621,31.62
49,31.85
107,31.9
113,32.36
454,32.58
475,32.7
307,33
234,33.13
92,33.24
524,33.52
146,33.59
568,33.69
547,33.83
208,34
634,34.06
14,34.24
586,34.37
26,34.48
218,35.41
573,35.46
2,35.8
470,35.98
517,36.16
541,36.42
77,36.48
106,36.67
224,36.92
24,37.7
46,37.73
195,37.83
